FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
1,3/24/2006,Falcon 1,20,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin1A,167.7431292,9.0477206,0
2,3/21/2007,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2A,167.7431292,9.0477206,0
4,9/28/2008,Falcon 1,165,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2C,167.7431292,9.0477206,0
5,7/13/2009,Falcon 1,200,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin3C,167.7431292,9.0477206,0
6,6/4/2010,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0003,-80.577366,28.5618571,0
8,5/22/2012,Falcon 9,525,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0005,-80.577366,28.5618571,0
10,3/1/2013,Falcon 9,677,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0007,-80.577366,28.5618571,0
11,9/29/2013,Falcon 9,500,PO,VAFB SLC 4E,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1003,-120.610829,34.632093,0
12,12/3/2013,Falcon 9,3170,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1004,-80.577366,28.5618571,0
13,1/6/2014,Falcon 9,3325,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1005,-80.577366,28.5618571,0
14,4/18/2014,Falcon 9,2296,ISS,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1006,-80.577366,28.5618571,1
15,7/14/2014,Falcon 9,1316,LEO,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1007,-80.577366,28.5618571,1
16,8/5/2014,Falcon 9,4535,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1008,-80.577366,28.5618571,0
17,9/7/2014,Falcon 9,4428,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1011,-80.577366,28.5618571,0
